Time,LOS,Probability
00:00:00,A,1.0
01:00:00,A,1.0
02:00:00,A,1.0
03:00:00,A,1.0
04:00:00,A,1.0
05:00:00,A,1.0
06:00:00,A,0.9333333333333333
06:00:00,B,0.06666666666666667
07:00:00,C,0.6
07:00:00,A,0.26666666666666666
07:00:00,B,0.13333333333333333
08:00:00,C,0.6
08:00:00,A,0.23333333333333334
08:00:00,B,0.13333333333333333
08:00:00,D,0.03333333333333333
09:00:00,C,0.6666666666666666
09:00:00,B,0.3333333333333333
10:00:00,C,0.6666666666666666
10:00:00,B,0.3333333333333333
11:00:00,B,0.5333333333333333
11:00:00,C,0.4666666666666667
12:00:00,B,0.6
12:00:00,C,0.4
13:00:00,B,0.6333333333333333
13:00:00,C,0.3333333333333333
13:00:00,D,0.03333333333333333
14:00:00,B,0.8
14:00:00,C,0.2
15:00:00,B,0.8
15:00:00,C,0.16666666666666666
15:00:00,D,0.03333333333333333
16:00:00,B,0.8
16:00:00,C,0.2
17:00:00,B,0.7333333333333333
17:00:00,C,0.13333333333333333
17:00:00,A,0.13333333333333333
18:00:00,B,0.5
18:00:00,A,0.5
19:00:00,A,0.9666666666666667
19:00:00,B,0.03333333333333333
20:00:00,A,0.9
20:00:00,C,0.06666666666666667
20:00:00,D,0.03333333333333333
21:00:00,A,0.9
21:00:00,B,0.1
22:00:00,A,0.9666666666666667
22:00:00,B,0.03333333333333333
23:00:00,A,1.0
