Date,LOS,Probability
2024-03-01,A,0.5
2024-03-01,C,0.3333333333333333
2024-03-01,B,0.16666666666666666
2024-03-02,A,0.6666666666666666
2024-03-02,B,0.3333333333333333
2024-03-03,A,0.7083333333333334
2024-03-03,B,0.2916666666666667
2024-03-04,A,0.5
2024-03-04,B,0.4166666666666667
2024-03-04,C,0.08333333333333333
2024-03-05,A,0.4583333333333333
2024-03-05,B,0.4583333333333333
2024-03-05,C,0.08333333333333333
2024-03-06,A,0.4583333333333333
2024-03-06,B,0.4583333333333333
2024-03-06,C,0.08333333333333333
2024-03-07,A,0.5
2024-03-07,B,0.4166666666666667
2024-03-07,C,0.08333333333333333
2024-03-08,A,0.5
2024-03-08,C,0.4166666666666667
2024-03-08,B,0.08333333333333333
2024-03-09,A,0.6666666666666666
2024-03-09,B,0.3333333333333333
2024-03-10,A,0.7083333333333334
2024-03-10,B,0.2916666666666667
2024-03-11,A,0.5
2024-03-11,B,0.4166666666666667
2024-03-11,C,0.08333333333333333
2024-03-12,A,0.4583333333333333
2024-03-12,B,0.4166666666666667
2024-03-12,C,0.125
2024-03-13,A,0.4583333333333333
2024-03-13,B,0.4583333333333333
2024-03-13,C,0.08333333333333333
2024-03-14,A,0.4583333333333333
2024-03-14,B,0.4583333333333333
2024-03-14,C,0.08333333333333333
2024-03-15,A,0.5
2024-03-15,C,0.3333333333333333
2024-03-15,B,0.16666666666666666
2024-03-16,A,0.625
2024-03-16,B,0.375
2024-03-17,A,0.7083333333333334
2024-03-17,B,0.2916666666666667
2024-03-18,A,0.5
2024-03-18,B,0.375
2024-03-18,C,0.125
2024-03-19,A,0.4583333333333333
2024-03-19,B,0.4166666666666667
2024-03-19,C,0.125
2024-03-20,A,0.4583333333333333
2024-03-20,B,0.4583333333333333
2024-03-20,C,0.08333333333333333
2024-03-21,A,0.5
2024-03-21,B,0.4166666666666667
2024-03-21,C,0.08333333333333333
2024-03-22,A,0.5
2024-03-22,C,0.4166666666666667
2024-03-22,B,0.08333333333333333
2024-03-23,A,0.625
2024-03-23,B,0.375
2024-03-24,A,0.6666666666666666
2024-03-24,B,0.3333333333333333
2024-03-25,A,0.4583333333333333
2024-03-25,B,0.4583333333333333
2024-03-25,C,0.08333333333333333
2024-03-26,A,0.4583333333333333
2024-03-26,B,0.4166666666666667
2024-03-26,C,0.125
2024-03-27,A,0.5
2024-03-27,B,0.375
2024-03-27,C,0.125
2024-03-28,A,0.5
2024-03-28,C,0.375
2024-03-28,B,0.125
2024-03-29,A,0.5833333333333334
2024-03-29,C,0.20833333333333334
2024-03-29,B,0.16666666666666666
2024-03-29,D,0.041666666666666664
2024-03-30,A,0.6666666666666666
2024-03-30,B,0.2916666666666667
2024-03-30,C,0.041666666666666664
2024-03-31,A,0.8333333333333334
2024-03-31,B,0.125
2024-03-31,C,0.041666666666666664
