window_size,a,PD,FAR,Youden_J,TP,FP,TN,FN
5,-5.0,0,0.95,-0.95,0,95,5,0
5,-4.5,0,0.95,-0.95,0,95,5,0
5,-4.0,0,0.95,-0.95,0,95,5,0
5,-3.5,0,0.95,-0.95,0,95,5,0
5,-3.0,0,0.95,-0.95,0,95,5,0
5,-2.5,0,0.95,-0.95,0,95,5,0
5,-2.0,0,0.95,-0.95,0,95,5,0
5,-1.5,0,0.88,-0.88,0,88,12,0
5,-1.0,0,0.72,-0.72,0,72,28,0
5,-0.5,0,0.59,-0.59,0,59,41,0
5,0.0,0,0.57,-0.57,0,57,43,0
5,0.5,0,0.42,-0.42,0,42,58,0
5,1.0,0,0.14,-0.14,0,14,86,0
5,1.5,0,0.01,-0.01,0,1,99,0
5,2.0,0,0.0,0.0,0,0,100,0
5,2.5,0,0.0,0.0,0,0,100,0
5,3.0,0,0.0,0.0,0,0,100,0
5,3.5,0,0.0,0.0,0,0,100,0
5,4.0,0,0.0,0.0,0,0,100,0
5,4.5,0,0.0,0.0,0,0,100,0
5,5.0,0,0.0,0.0,0,0,100,0
10,-5.0,0,0.0,0.0,0,0,0,0
10,-4.5,0,0.0,0.0,0,0,0,0
10,-4.0,0,0.0,0.0,0,0,0,0
10,-3.5,0,0.0,0.0,0,0,0,0
10,-3.0,0,0.0,0.0,0,0,0,0
10,-2.5,0,0.0,0.0,0,0,0,0
10,-2.0,0,0.0,0.0,0,0,0,0
10,-1.5,0,0.0,0.0,0,0,0,0
10,-1.0,0,0.0,0.0,0,0,0,0
10,-0.5,0,0.0,0.0,0,0,0,0
10,0.0,0,0.0,0.0,0,0,0,0
10,0.5,0,0.0,0.0,0,0,0,0
10,1.0,0,0.0,0.0,0,0,0,0
10,1.5,0,0.0,0.0,0,0,0,0
10,2.0,0,0.0,0.0,0,0,0,0
10,2.5,0,0.0,0.0,0,0,0,0
10,3.0,0,0.0,0.0,0,0,0,0
10,3.5,0,0.0,0.0,0,0,0,0
10,4.0,0,0.0,0.0,0,0,0,0
10,4.5,0,0.0,0.0,0,0,0,0
10,5.0,0,0.0,0.0,0,0,0,0
15,-5.0,0,0.0,0.0,0,0,0,0
15,-4.5,0,0.0,0.0,0,0,0,0
15,-4.0,0,0.0,0.0,0,0,0,0
15,-3.5,0,0.0,0.0,0,0,0,0
15,-3.0,0,0.0,0.0,0,0,0,0
15,-2.5,0,0.0,0.0,0,0,0,0
15,-2.0,0,0.0,0.0,0,0,0,0
15,-1.5,0,0.0,0.0,0,0,0,0
15,-1.0,0,0.0,0.0,0,0,0,0
15,-0.5,0,0.0,0.0,0,0,0,0
15,0.0,0,0.0,0.0,0,0,0,0
15,0.5,0,0.0,0.0,0,0,0,0
15,1.0,0,0.0,0.0,0,0,0,0
15,1.5,0,0.0,0.0,0,0,0,0
15,2.0,0,0.0,0.0,0,0,0,0
15,2.5,0,0.0,0.0,0,0,0,0
15,3.0,0,0.0,0.0,0,0,0,0
15,3.5,0,0.0,0.0,0,0,0,0
15,4.0,0,0.0,0.0,0,0,0,0
15,4.5,0,0.0,0.0,0,0,0,0
15,5.0,0,0.0,0.0,0,0,0,0
